Concurrency Level,Average TTFC,Average RTF
1,0.22384582699987732,0.23482043348595627
2,0.34027506799998264,0.35441348780025284
3,0.5077823990001585,0.4274384058692429
4,0.7129687450001256,0.5672833438057213
5,0.9688413908000257,0.6429091188256153
6,1.1429997800000062,0.7244731612051439
7,1.3347277689999177,0.807725914464682
8,1.5012623802498979,0.8529597935015916
9,1.666397938888925,0.9056976676425124
10,2.3674195143998986,1.2261296650948499
11,2.0655458075454836,1.1344632314872511
12,2.290866779833285,1.2518246193621063
13,2.8828530266923384,1.5121255587787439
14,2.654676290071393,1.4565097698227998
15,2.7384646275332973,1.4950596919856258
16,3.007300475749986,1.5562245181091032
17,3.0947604989411475,1.6458579905690205
18,3.3666608620555203,1.7265832913481143
19,3.442721578105312,1.8122002054545654
20,3.751879550050012,1.8972264115070943
